#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 10923, 3,N0AHK,    -0.90, -80,   6, 3,   boost,    0.50,  99139.00,  183.58,   -1.19,    0.00, 25.3, 9.01, 0.00, 4.09,   9.91,   0.38,  -0.30,   0.43,   0.12,   0.18,   0.20,   0.21,  -0.09,   1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982991, -78.0640532,   119.0, 2023, 10, 15, 17, 48, 41,        0,        0,   0,   0,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 29,  0, 20,  0,  0,  0,  0,  0,  9,  0,  0, 37,  0, 29, 24, 21,  0,  0, 38,  0,  0, 35, 34
6, 10923, 3,N0AHK,    -0.90, -80,   5, 3,   boost,    0.50,  99139.00,  183.58,   -1.19,    0.00, 25.3, 9.01, 0.00, 4.09,   9.91,   0.38,  -0.30,   0.43,   0.12,   0.18,   0.20,   0.21,  -0.09,   1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982991, -78.0640532,   119.0, 2023, 10, 15, 17, 48, 41,        0,        0,   0,   0,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 29,  0, 20,  0,  0,  0,  0,  0,  9,  0,  0, 37,  0, 29, 24, 21,  0,  0, 38,  0,  0, 35, 34
6, 10923, 3,N0AHK,    -0.47, -79,   6, 3,   boost,    0.50,  99139.00,  183.58,   -1.19,    0.00, 25.3, 9.01, 0.00, 4.09,   9.91,   0.38,  -0.30,   0.43,   0.12,   0.18,   0.20,   0.21,  -0.09,   1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982991, -78.0640532,   119.0, 2023, 10, 15, 17, 48, 41,        0,        0,   0,   0,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 29,  0, 20,  0,  0,  0,  0,  0,  9,  0,  0, 37,  0, 29, 24, 21,  0,  0, 38,  0,  0, 35, 34
6, 10923, 3,N0AHK,    -0.44, -79,   8, 3,   boost,    0.50,  99139.00,  183.58,   -1.19,    0.00, 25.3, 9.01, 0.00, 4.09,   9.91,   0.38,  -0.30,   0.43,   0.12,   0.18,   0.20,   0.21,  -0.09,   1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982991, -78.0640532,   119.0, 2023, 10, 15, 17, 48, 41,        0,        0,   0,   0,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 29,  0, 20,  0,  0,  0,  0,  0,  9,  0,  0, 37,  0, 29, 24, 21,  0,  0, 38,  0,  0, 35, 34
6, 10923, 3,N0AHK,    -0.03, -73,   5, 3,   boost,   97.06,  99105.00,  186.46,    1.69,   21.45, 25.3, 9.01, 0.00, 4.09, 103.67,  -1.37,  -3.28, -20.39,   0.31,  -0.85,   0.19,   0.20,  -0.09,   2.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982991, -78.0640532,   119.0, 2023, 10, 15, 17, 48, 41,        0,        0,   0,   0,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 29,  0, 20,  0,  0,  0,  0,  0,  9,  0,  0, 37,  0, 29, 24, 21,  0,  0, 38,  0,  0, 35, 34
6, 10923, 3,N0AHK,     0.00, -74,   7, 3,   boost,   97.06,  99105.00,  186.46,    1.69,   21.45, 25.3, 9.07, 0.00, 4.10, 103.67,  -1.37,  -3.28, -20.39,   0.31,  -0.85,   0.19,   0.20,  -0.09,   2.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982991, -78.0640532,   119.0, 2023, 10, 15, 17, 48, 41,        0,        0,   0,   0,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 29,  0, 20,  0,  0,  0,  0,  0,  9,  0,  0, 37,  0, 29, 24, 21,  0,  0, 38,  0,  0, 35, 34
6, 10923, 3,N0AHK,     0.10, -75,   6, 3,   boost,   97.06,  99105.00,  186.46,    1.69,   21.45, 25.3, 9.07, 0.00, 4.10, 103.67,  -1.37,  -3.28, -20.39,   0.31,  -0.85,   0.19,   0.20,  -0.09,   2.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982997, -78.0640547,   120.0, 2023, 10, 15, 17, 48, 42,        0,        1, 297,  82,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 28,  0, 18,  0,  0,  0,  0,  0, 10,  0,  0, 37,  0, 28, 23, 21,  0,  0, 37,  0,  0, 35, 33
6, 10923, 3,N0AHK,     0.77, -86,   6, 3,   boost,  102.59,  98645.00,  225.52,   40.75,  100.60, 25.3, 9.07, 0.00, 4.10, 110.83,  -3.43,   0.29,-311.83,  23.13,   8.79,   0.13,  -0.14,   0.10,  10.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982997, -78.0640547,   120.0, 2023, 10, 15, 17, 48, 42,        0,        1, 297,  82,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 28,  0, 18,  0,  0,  0,  0,  0, 10,  0,  0, 37,  0, 28, 23, 21,  0,  0, 37,  0,  0, 35, 33
6, 10923, 3,N0AHK,     0.80, -86,   6, 3,   boost,  102.59,  98645.00,  225.52,   40.75,  100.60, 25.3, 9.07, 0.00, 4.10, 110.83,  -3.43,   0.29,-311.83,  23.13,   8.79,   0.13,  -0.14,   0.10,  10.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982997, -78.0640547,   120.0, 2023, 10, 15, 17, 48, 42,        0,        1, 297,  82,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 28,  0, 18,  0,  0,  0,  0,  0, 10,  0,  0, 37,  0, 28, 23, 21,  0,  0, 37,  0,  0, 35, 33
6, 10923, 3,N0AHK,     0.87, -79,   8, 3,   boost,   98.57,  98515.00,  236.58,   51.82,  110.51, 25.3, 9.07, 0.00, 4.10, 107.40,  -1.42,   2.75,-397.46, -15.32, -21.24,   0.13,  -0.25,  -0.05,   9.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  38.3982997, -78.0640547,   120.0, 2023, 10, 15, 17, 48, 42,        0,        1, 297,  82,   1.4,   0.7,   1.2,  0, 37,  0,  0,  0,  0,  0,  0,  0, 28,  0, 18,  0,  0,  0,  0,  0, 10,  0,  0, 37,  0, 28, 23, 21,  0,  0, 37,  0,  0, 35, 33
