time,RSSI,time,lat,long,GPS MSL,SVs,time,acceleration,time,pressure,Pressure MSL,Pressure AGL,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time,eject. bat. voltage,time,GPS Time of Week, valid leap seconds, leap seconds,time,temperature
0.093,-89,13.3988,38.399902,-78.063779,1065.4351,14,13.5748,-0.0273438,14.1188,88111,1163.06,0,65.2339,7.0916,65.2339,Coast,0,0,0,0,0,0,0,0,66.4839,0.0227295,67.719,64153800,1,18,69.031,27.39
0.202,-91,24.1578,38.399975,-78.063767,1081.5811,14,24.4426,-0.015625,25.5838,87906,1182.19,19.1276,67.719,7.03965,67.719,Decent,0,0,0,0,1,0,0,0,69.031,0.0227295,70.3909,64157200,1,18,74.188,27.24
0.312,-90,33.047,38.400048,-78.063752,1095.3101,14,33.3629,-0,35.0188,87793,1192.75,29.6862,71.7029,7.03965,71.7029,Decent,0,0,0,0,1,0,0,0,72.969,0.0227295,79.1409,64165800,1,18,79.1409,27.19
0.421,-90,40.0704,38.400146,-78.06374,1110.943,14,40.4991,-0.00390625,42.9893,87898,1182.94,19.8752,74.188,7.04939,74.188,Decent,0,0,0,0,1,0,0,0,76.6409,0.0227295,82.9219,64169800,1,18,86.594,27.11
0.562,-89,45.9681,38.400218,-78.063726,1116.041,14,46.495,-0.00390625,49.4776,88140,1160.36,-2.70312,79.1409,7.06238,77.8909,Decent,0,0,0,0,1,0,0,0,80.375,0.0227295,86.594,64173200,1,18,92.8909,27.1
0.671,-90,51.0687,38.400318,-78.063692,1119.5011,14,51.2198,0.132812,55.1547,88438,1132.63,-30.434,85.375,7.04939,85.375,Decent,0,0,0,0,1,0,0,0,82.9219,0.0227295,90.3909,64176600,1,18,99.5,27.03
0.781,-89,54.9732,38.400379,-78.063669,1118.2151,12,55.4941,-1.59766,59.6935,88503,1126.59,-36.4742,89.125,7.0429,91.6409,Decent,0,0,0,0,1,0,0,0,86.594,0.0227295,94.25,64180200,1,18,112.563,26.92
0.89,-91,58.4087,38.400409,-78.06365,1113.4761,13,58.6335,0.00390625,63.5844,88544,1122.78,-40.2817,92.8909,7.05913,95.5,Decent,0,0,0,0,1,0,0,0,90.3909,0.0227295,98.156,64184200,1,18,125.516,26.83
1,-91,61.1891,38.400424,-78.063635,1106.9291,12,61.6649,0.648438,67.5237,88583,1119.16,-43.9017,100.813,7.03315,99.5,Decent,0,0,0,0,1,0,0,0,94.25,0.0227295,102.234,64188200,1,18,131.828,26.74
1.125,-89,63.7959,38.400426,-78.06361,1095.4871,13,63.7381,0.28125,70.5411,88619,1115.82,-47.2416,103.5,7.06238,102.234,Decent,0,0,0,0,1,0,0,0,100.813,0.0227295,109.906,64196200,1,18,137.078,26.75
1.233,-91,65.7053,38.400421,-78.063593,1085.301,13,65.9951,0.667969,73.3171,88666,1111.46,-51.6014,107.297,7.0429,108.563,Decent,0,0,0,0,1,0,0,0,104.75,0.0227295,113.813,64200200,1,18,142.422,26.73
1.343,-90,67.606,38.400405,-78.063572,1073.875,12,67.6326,1.54297,75.9127,88684,1109.79,-53.2714,111.234,7.06238,112.563,Decent,0,0,0,0,1,0,0,0,107.297,0.0227295,121.688,64208200,1,18,148.766,26.69
1.468,-91,68.9586,38.40039,-78.063572,1071.369,13,69.3079,1.98047,78.3545,88746,1104.04,-59.0183,115,7.04939,116.281,Decent,0,0,0,0,1,0,0,0,111.234,0.0227295,125.516,64212200,1,18,155.016,26.61
1.593,-92,70.3165,38.400379,-78.063576,1070.1381,14,70.4641,1.17188,80.6574,88809,1098.21,-64.8551,123.031,7.02666,123.031,Decent,0,0,0,0,1,0,0,0,113.813,0.0227295,129.313,64216000,1,18,158.766,26.58
1.702,-90,71.4348,38.400374,-78.063571,1068.7511,13,71.8009,0.949219,82.5929,88869,1092.65,-70.4119,126.797,7.0364,125.516,Decent,0,0,0,0,1,0,0,0,121.688,0.0227295,134.406,64220600,1,18,165.344,26.45
1.812,-91,72.884,38.400351,-78.063551,1064.6881,14,72.7103,1.08984,84.4491,88961,1084.14,-78.9227,130.563,7.0429,129.313,Decent,0,0,0,0,1,0,0,0,125.516,0.0227295,138.406,64224600,1,18,172.016,26.41
1.921,-91,73.8754,38.400338,-78.063568,1063.6011,13,73.9924,0.945312,86.4403,89058,1075.17,-87.8906,134.406,7.02991,133.078,Decent,0,0,0,0,1,0,0,0,129.313,0.0227295,142.422,64228600,1,18,177.328,26.38
2.031,-90,74.9505,38.400318,-78.06359,1062.29,13,75.0901,0.976562,88.4144,89097,1071.57,-91.4948,137.078,7.0364,135.688,Decent,0,0,0,0,1,0,0,0,133.078,0.0227295,146.25,64232000,1,18,182.672,26.33
2.171,-89,75.8506,38.400293,-78.063613,1061.489,14,76.0583,1.02344,90.0677,89143,1067.32,-95.7435,141,7.0429,139.75,Decent,0,0,0,0,1,0,0,0,137.078,0.0227295,150.016,64236600,1,18,188.031,26.31
2.281,-90,76.9326,38.400255,-78.063644,1061.0021,13,76.9928,1.00391,92.0242,89198,1062.24,-100.819,145.016,7.0429,143.75,Decent,0,0,0,0,1,0,0,0,139.75,0.0227295,153.688,64240600,1,18,194.609,26.25
2.39,-88,77.9571,38.400216,-78.063671,1060.1101,14,77.9984,1.01562,93.9193,89259,1056.61,-106.45,148.766,7.01367,146.25,Decent,0,0,0,0,1,0,0,0,143.75,0.0227295,157.531,64244600,1,18,202.078,26.21
2.5,-90,78.8087,38.400192,-78.063689,1059.3711,14,78.7389,0.976562,95.9027,89372,1046.19,-116.866,152.453,7.03315,150.016,Decent,0,0,0,0,1,0,0,0,146.25,0.0227295,161.375,64248000,1,18,208.328,26.16
2.64,-88,79.9833,38.400141,-78.063736,1055.337,13,79.7461,0.953125,97.6461,89430,1040.85,-122.211,155.016,7.03965,153.688,Decent,0,0,0,0,1,0,0,0,151.203,0.0227295,165.344,64251600,1,18,212.25,26.09
2.75,-88,80.955,38.400139,-78.063734,1053.9351,14,80.3679,0.992188,99.3835,89493,1035.05,-128.011,158.766,7.03315,156.281,Decent,0,0,0,0,1,0,0,0,153.688,0.0227295,168,64254600,1,18,217.516,26.08
2.858,-87,82.0898,38.400134,-78.063704,1051.6521,14,81.4307,0.9375,101.026,89529,1031.74,-131.325,162.625,7.0364,159.969,Decent,0,0,0,0,1,0,0,0,157.531,0.0227295,172.016,64258400,1,18,222.828,26.06
2.968,-87,82.8216,38.400113,-78.063662,1049.8351,14,82.1609,0.972656,102.656,89602,1025.02,-138.039,166.609,7.02991,163.938,Decent,0,0,0,0,1,0,0,0,161.375,0.0227295,177.328,64263000,1,18,228.219,26
3.077,-90,83.7003,38.40007,-78.063618,1047.3971,14,83.2145,1.15625,104.067,89646,1020.98,-142.084,169.359,7.02991,169.359,Decent,0,0,0,0,1,0,0,0,163.938,0.0227295,181.25,64267400,1,18,233.531,25.97
3.218,-86,84.4352,38.400008,-78.063591,1044.332,14,83.8254,1.09375,105.897,89794,1007.38,-155.679,173.344,7.03965,173.344,Decent,0,0,0,0,1,0,0,0,168,0.0227295,185.234,64271400,1,18,240.188,25.89
3.327,-89,85.387,38.39992,-78.063597,1040.9851,14,84.7113,1.21094,107.502,89846,1002.61,-160.451,175.922,7.01042,175.922,Decent,0,0,0,0,1,0,0,0,170.625,0.0227295,188.031,64274400,1,18,245.25,25.88
3.437,-87,86.4306,38.399729,-78.063653,1035.728,13,85.6159,1.26953,108.975,89901,997.563,-165.497,179.906,7.01692,179.906,Decent,0,0,0,0,1,0,0,0,174.594,0.0227295,191.953,64278000,1,18,251.75,25.84
3.546,-87,87.2975,38.39967,-78.063646,1034.3151,14,86.3795,1.30469,110.451,89955,992.614,-170.446,183.922,7.02341,182.672,Decent,0,0,0,0,1,0,0,0,178.594,0.0227295,195.844,64282000,1,18,257,25.82
3.687,-88,88.3562,38.399593,-78.06362,1031.943,14,87.5846,1.01953,111.993,90015,987.116,-175.945,186.625,7.01692,186.625,Decent,0,0,0,0,1,0,0,0,182.672,0.0227295,199.547,64286000,1,18,262.172,25.76
3.796,-87,89.0351,38.399538,-78.063593,1030.4451,14,88.3007,1.11328,113.413,90081,981.07,-181.991,190.609,7.02017,189.344,Decent,0,0,0,0,1,0,0,0,186.625,0.0227295,203.297,64289400,1,18,265.984,25.78
