#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 7915, 1,    -0.14, 3,   boost,   30.07,  98888.00,  204.87,   24.85,   44.55, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.13, 3,   boost,   31.63,  98891.00,  204.61,   24.59,   45.17, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.12, 3,   boost,   33.24,  98883.00,  205.29,   25.27,   45.79, 24.3, 8.84, 0.00, 8.82
6, 7915, 1,    -0.11, 3,   boost,   34.90,  98868.00,  206.56,   26.54,   46.42, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.10, 3,   boost,   36.61,  98862.00,  207.07,   27.05,   47.05, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.09, 3,   boost,   38.37,  98850.00,  208.09,   28.07,   47.69, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.08, 3,   boost,   40.17,  98837.00,  209.20,   29.18,   48.34, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.07, 3,   boost,   42.01,  98816.00,  210.98,   30.96,   48.99, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.06, 3,   boost,   43.88,  98813.00,  211.24,   31.22,   49.65, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.05, 3,   boost,   45.78,  98800.00,  212.34,   32.32,   50.31, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.04, 3,   boost,   47.70,  98790.00,  213.19,   33.17,   50.99, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.03, 3,   boost,   49.63,  98782.00,  213.87,   33.85,   51.66, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,    -0.02, 3,   boost,   51.56,  98777.00,  214.29,   34.27,   52.35, 24.3, 8.87, 0.00, 8.84
6, 7915, 1,    -0.01, 3,   boost,   53.49,  98773.00,  214.63,   34.61,   53.04, 24.3, 8.84, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.00, 3,   boost,   55.41,  98769.00,  214.97,   34.95,   53.73, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.01, 3,   boost,   57.30,  98754.00,  216.25,   36.23,   54.43, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.02, 3,   boost,   59.15,  98742.00,  217.27,   37.25,   55.14, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.03, 3,   boost,   60.97,  98749.00,  216.67,   36.65,   55.85, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.04, 3,   boost,   62.73,  98744.00,  217.10,   37.08,   56.57, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.05, 3,   boost,   64.43,  98743.00,  217.18,   37.16,   57.29, 24.3, 8.87, 0.00, 8.82
6, 7915, 1,     0.06, 3,   boost,   66.06,  98730.00,  218.29,   38.27,   58.02, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.07, 3,   boost,   67.62,  98716.00,  219.48,   39.46,   58.75, 24.3, 8.88, 0.00, 8.82
6, 7915, 1,     0.08, 3,   boost,   69.08,  98711.00,  219.90,   39.88,   59.49, 24.3, 8.87, 0.00, 8.82
6, 7915, 1,     0.09, 3,   boost,   70.45,  98705.00,  220.41,   40.39,   60.24, 24.3, 8.88, 0.00, 8.82
